"company_number","index_membership","se_code","name"
14,0,"LOAEM Y","Loades plc"
44,0,"ADUL  4","Adwest Automotive"
67,0,"ALCN  W","Albion plc"
94,2,"THGSMC","The Global Smaller Cos Trust"
97,2,"ALKX  0","Alliance Trust (The) plc"
98,0,"ALMBM U","Allied Domecq Holdings"
101,0,"ALMA  R","Allied Colloids Group plc"
113,0,"ALNA  K","Allied London Properties"
118,0,"ALNW  L","Allied Textile Companies plc"
124,0,"ARHIL 4","Arena Leisure"
129,0,"ATMJF Y","Atlantic Telecom Group"
147,0,"LONDSCH","London Security plc"
152,0,"AMCV  I","Amber Industrial Holdings pl"
158,3,"NORAMIL","North American Inc Tst (The)"
172,0,"AAIC  I","AAF Industries plc"
177,0,"ANHY  V","Anglo & Overseas Ts plc"
232,0,"ARGC  U","Arcolectric Holdings"
244,0,"ONETWO","Oneview Group plc"
260,0,"ASGI  Q","Ash & Lacy plc"
285,0,"ASQQ  R","Associated British Eng"
286,-1,"ASQS  H","Associated British Foods"
292,0,"ASES  R","Asda Group plc"
304,0,"APHE  Z","API Group plc"
306,0,"BLTG  9","Blue Circle Industries"
325,0,"TRAS  4","TR Technology plc 'B'"
331,0,"HIWTECY","HiWave Technologies plc"
359,3,"AVONP ","Avon Protection plc"
364,0,"AYTY  B","Ayrshire Metal Products plc"
365,0,"SIGAVI","Signature Aviation plc"
367,0,"BTSP  V","BTR plc"
370,0,"ASVE  F","Astec (BSR) plc"
374,0,"BPPM  0","BPB plc"
380,0,"BABQA S","Baggeridge Brick plc"
385,0,"BABYQ E","Bailey (C H) plc"
386,0,"BENBLYM","Ben Bailey plc"
390,0,"BACEA 7","Baird(William) plc"
399,0,"BACZA D","Baldwin plc"
422,0,"ACALE 2","ActionLeisure plc"
424,0,"BANMA 1","Bank of Scotland'Ord Stk'"
426,2,"BAOMK 1","Bankers Investment Trust plc"
433,1,"BASDE ","Barclays plc"
447,3,"BAUKK 6","Barr (A.G) plc"
449,0,"TRQJJ S","Trust Motor Group"
465,1,"INTHTLL","Intercontinental Hotels Gp"
486,0,"BEAQ  L","Beales Hunter plc"
487,0,"BEBM  Y","Beattie (James) plc"
495,0,"BEBQ  E","Beauford plc"
505,0,"SMUC  C","SmithKline Beecham plc"
520,2,"FIMPR O","4imprint Group plc"
535,0,"BEKF  6","Bentalls plc"
541,0,"BEKR  K","Beradin Holdings plc"
547,0,"ENENO K","Enodis plc"
561,0,"BEPK  K","Bertam Hldgs"
581,0,"CLGP  5","Clayhithe plc"
584,0,"DRUMPL","Drumz plc"
585,0,"BIFW  N","Bilton plc"
599,0,"BISICH","Bisichi plc"
603,0,"BLDC  U","Black(A & C)"
604,0,"BLDM  H","Black(Peter)Hldgs"
614,0,"BLIR  V","Blagden plc"
623,0,"BLQJ  F","Blockleys plc"
634,2,"BODYC *","Bodycote plc"
637,0,"BOCW  F","Bogod Group plc"
642,0,"BOGRP B","Bolton Group(Intnl) plc"
649,0,"BOLT  4","Booker plc"
650,0,"BOMH  K","Boosey & Hawkes plc"
654,0,"REDHALO","Redhall Group plc"
655,0,"ALLIBOO","Alliance Boots plc"
657,0,"GOXK  B","Govett Strategic Investment"
665,0,"REEV  J","Reece plc"
674,0,"RETLX D","Rexam plc"
679,2,"SPIRCOF","Spirent Communications plc"
686,0,"BPWX  7","BPT plc"
694,0,"BRTQA B","Brunel Holdings plc"
696,0,"BRAGRO","Braime Group plc"
697,0,"ANGC  0","Andrews Sykes Group plc"
698,0,"BRBT  4","Brammer plc"
707,0,"BRFI  V","Breedon plc"
709,0,"HENALT","Henderson Alternative Strats"
710,0,"BRGL  9","Brent International plc"
712,0,"WILM  H","Windsor plc"
719,0,"HEMSCTE","Hemscott plc"
721,0,"BRII  A","Bridport plc"
734,0,"BRKD  L","Bristol United Press plc"
736,0,"GAGGI S","Gaming International plc"
737,0,"BSAA  L","Britax International"
743,0,"RERSL S","Resolution plc"
749,0,"BRKYM Z","British & American Inv Trust"
753,-1,"BRLLP A","British American Tobacco"
757,3,"ABEDII","Aberdeen Diversified Inc&Gro"
761,0,"POTT  P","Powerscreen International"
763,0,"BROS  T","British Borneo Oil & Gas"
780,0,"BRMM  *","British Dredging Co"
784,2,"AVGLOB","AVI Global Trust plc"
798,2,"BABBY V","Balfour Beatty plc"
801,1,"BRNF  R","British Land"
809,0,"BRNK  2","British Mohair Holdings"
814,0,"BOAS  C","BOC Group"
817,-1,"BPBP  9","BP plc"
832,0,"BSVA  M","BSS Group plc"
836,0,"BTQE  Q","BTP"
844,0,"BROM  M","British Vita plc"
851,0,"BRIXTNO","Brixton plc"
863,0,"BRRJB K","Brooke Industrial Holdings"
873,0,"INSTREP","Instore plc"
874,0,"BAKRX 2","Bandt plc"
878,0,"BRSX  D","Brown(N) Group plc"
891,3,"BRTR  *","Brunner Investment Trust"
892,0,"ASHDENU","Ashdene Group plc"
896,0,"BRUI  0","Bryant Group plc"
920,0,"CHECKI","Checkit plc"
922,0,"BUHW  P","Bullough plc"
924,0,"BUII  E","Bulmer(H P) Hldgs plc"
927,1,"BUKW  4","Bunzl plc"
930,0,"HUHLR W","Hunters Leisure plc"
937,0,"COWGU 0","Corporate Services Group plc"
938,0,"BUPB  0","Burmah Castrol plc"
946,0,"AREPA N","Arcadia Group plc"
949,0,"BUTXO C","Burtonwood plc"
973,3,"RESGRPD","Restaurant Group plc"
977,3,"HENDLTI","Henderson Far East Income Ld"
980,0,"ASACA V","Asia Capital plc"
985,0,"CADUPL5","Cadbury plc"
987,0,"CACFM R","Caffyns plc"
994,0,"CADXU H","Cakebread Robey 'A'"
1000,2,"CAENA 9","Caledonia Investments plc"
1016,0,"CAHTM X","Camellia plc"
1019,0,"LAIRD K","Laird plc"
1030,0,"CAMNK Y","Canning(W) & Co plc"
1036,0,"CAOFS *","Cape plc"
1039,2,"JPMOJI*","JPMorgan Japanese Inv Trust"
1049,0,"CACAR 0","Carclo plc"
1050,0,"CARKU L","Cardiff Property plc"
1068,3,"CARRSM","Carr's Group plc"
1086,0,"JOHD  8","Johnson Fry Holdings plc"
1090,0,"CAYWP 1","Cattles plc"
1116,0,"TRGW  G","TransTec plc"
1129,0,"REAA  4","R E A Holdings plc"
1133,0,"GRNO  S","Greycoat plc"
1134,0,"GBTK  Y","GBE International plc"
1143,0,"CHCR  U","Channel Holdings plc"
1154,0,"CHARENU","Charter International plc"
1155,0,"CHFBLA6","Charter European plc"
1172,0,"CHLP  E","Chesterfield Props"
1181,0,"CHSE  K","Chloride Group plc"
1189,0,"CHXU  G","Church & Co plc"
1211,2,"CICTIV4","City of London Investment Tr"
1213,0,"CIMN  6","City of Oxford Inv Tr'Inc'"
1225,0,"CLDJA Q","Matthew Clark plc"
1227,0,"TCLARK","TClarke plc"
1228,0,"CNOLF D","CNC Properties plc"
1233,3,"JPMCLIG","JPMorgan Claverhouse Inv Tr"
1256,0,"CLTT  5","Clyde Blowers"
1273,0,"CRTIDE1","Crimson Tide plc"
1275,0,"SIDDD K","Six Hundred (600) Group"
1313,1,"AVAVI R","Aviva plc"
1319,0,"COMPX G","Concentric plc"
1357,0,"ASEE  N","Ascot plc"
1367,0,"COTWP U","Cooper (Frederick) plc"
1393,0,"EUOO  E","European Colour plc"
1395,0,"COWWL L","Cosalt plc"
1397,3,"COXFT 1","Costain Group plc"
1404,0,"COXUZ J","Countryside Props"
1406,0,"COYIC U","Courts plc"
1408,0,"COYEH Z","Courtaulds plc"
1409,0,"RUEQ  G","Rubicon Group plc"
1416,0,"ISISP 5","I-Spire plc"
1422,0,"ARRIVAW","Arriva plc"
1436,0,"ANITE 7","Anite plc"
1441,0,"CRHV  D","Crest Nicholson"
1450,1,"CRJR  J","Croda International"
1453,0,"CRKB  I","Cropper(James) plc"
1460,3,"JPMMCIU","JPMorgan Mid Cap Inv Trust"
1467,0,"FALO  K","Falcon Holdings plc"
1491,0,"DABK  P","Daejan Holdings"
1493,0,"DAFO  E","Daily Mail & General Trust"
1497,0,"SYSNI 7","Sygen International plc"
1516,0,"ALBXLAH","Albemarle Property Investmnt"
1529,0,"BERENDF","Berendsen plc"
1539,0,"DASH  W","Dawson International"
1542,3,"DEDLARQ","De La Rue plc"
1555,0,"DEGE  D","Delta plc"
1557,0,"INGENP","Ingenta plc"
1591,0,"DERJ  M","Dewhirst plc"
1592,0,"DEGPL ","Dewhurst Group plc 'ANV'"
1598,0,"AERGRPJ","Aerte Group plc"
1610,0,"CEPLKKD","CEPS plc"
